38B,09,23,06,2A,21,21,00,
38B,09,83,06,2C,21,21,00,
38B,09,FE,07,2D,A0,24,00,
38B,0A,15,07,2E,A0,23,00,
38B,0A,0C,07,2E,20,21,00,
38B,09,F8,07,2E,20,1D,00,
38B,09,CC,07,2E,A0,21,00,
38B,09,AE,07,2E,20,21,00,
38B,09,9E,07,2E,20,21,00,
38B,09,83,07,2E,A0,21,00,
38B,09,70,07,2E,A0,20,00,
38B,09,5F,07,2E,20,21,00,
38B,09,46,06,2E,20,21,00,
38B,09,21,06,2E,A0,21,00,
38B,08,F9,06,2D,A0,22,00,
38B,08,C8,06,2D,20,24,00,
38B,08,A9,06,2C,20,24,00,
38B,00,00,00,00,A0,25,00,
38B,00,00,00,00,A0,24,00,
38B,00,00,00,00,20,22,00,
38B,00,00,00,00,20,22,00,
38B,00,00,00,00,A0,21,00,
38B,00,00,00,00,20,21,00,
38B,00,00,00,00,20,21,00,
38B,00,00,00,00,A0,21,00,
38B,02,CE,05,28,A0,21,00,
38B,08,20,05,28,20,25,00,
38B,08,D9,06,2A,20,22,00,
38B,09,5D,06,2C,A0,22,00,
38B,09,A2,06,2C,A0,22,00,
38B,09,DC,07,2D,20,22,00,
38B,09,F7,07,2E,20,22,00,
38B,09,FE,07,2E,A0,23,00,
38B,09,F3,07,2E,A0,22,00,
38B,09,D8,07,2E,20,22,00,
38B,09,B1,07,2E,20,22,00,
38B,09,8B,07,2E,A0,22,00,
38B,09,67,06,2E,20,22,00,
38B,09,57,06,2E,20,21,00,
38B,09,3D,06,2E,A0,23,00,
38B,09,21,06,2E,A0,22,00,
38B,08,FF,06,2E,20,23,00,
38B,08,E8,06,2D,20,23,00,
38B,08,D5,06,2D,A0,23,00,
38B,08,C8,06,2D,A0,23,00,
38B,08,B3,06,2C,20,26,00,
38B,08,A3,06,2C,20,25,00,
38B,00,00,00,00,A0,25,00,
38B,00,00,00,00,A0,24,00,
38B,00,00,00,00,20,24,00,
38B,00,00,00,00,20,21,00,
38B,00,00,00,00,A0,21,00,
38B,00,00,00,00,20,20,00,
38B,00,00,00,00,20,20,00,
38B,00,00,00,00,9F,1F,00,
38B,05,FC,05,25,9F,21,00,
38B,08,7D,05,27,20,22,00,
38B,09,09,06,29,20,22,00,
38B,09,94,06,2B,9F,23,00,
38B,09,F0,07,2C,9F,23,00,
38B,0A,6C,07,2D,1F,23,00,
38B,0A,81,07,2E,1F,26,00,
38B,0A,76,07,2E,9F,27,00,
38B,0A,52,07,2E,9F,27,00,
38B,0A,15,07,2E,1F,28,00,
38B,09,E3,07,2E,1F,28,00,
38B,09,A3,07,2E,9F,28,00,
38B,09,77,06,2E,9F,24,00,
38B,09,4B,06,2E,1F,24,00,
38B,09,19,06,2D,9F,25,00,
38B,08,F9,06,2D,9F,24,00,
38B,08,DF,06,2D,1F,24,00,
38B,08,C6,06,2D,1F,24,00,
38B,08,B3,06,2C,9F,27,00,
38B,08,A2,06,2C,9F,27,00,
38B,08,9B,06,2C,1F,28,00,
38B,08,98,06,2C,1F,27,00,
38B,00,00,00,00,9F,28,00,
38B,00,00,00,00,9F,28,00,
38B,00,00,00,00,1F,27,00,
38B,00,00,00,00,1F,26,00,
38B,00,00,00,00,9F,1F,00,
38B,00,00,00,00,9F,1D,00,
38B,00,00,00,00,1F,25,00,
38B,02,C0,05,25,9F,24,00,
38B,07,5B,05,26,9F,23,00,
38B,08,C0,05,28,1F,2C,00,
38B,09,0E,06,29,1F,2D,00,
38B,09,83,06,2B,9F,2D,00,
38B,09,A2,06,2B,9F,2D,00,
38B,09,DC,07,2C,1F,2C,00,
38B,09,E6,07,2D,1F,2C,00,
38B,09,A9,06,2D,9F,2A,00,
38B,09,8D,06,2D,9F,29,00,
38B,09,3F,06,2C,1F,29,00,
38B,09,2A,06,2C,1F,29,00,
38B,08,F1,06,2C,9F,29,00,
38B,08,DD,06,2C,9F,2C,00,
38B,08,BC,06,2C,1F,2C,00,
38B,08,A3,06,2C,9F,2E,00,
38B,08,9B,06,2C,9F,2F,00,
38B,08,97,06,2C,1F,2E,00,
38B,08,97,06,2C,1F,2D,00,
38B,08,97,06,2C,9F,2D,00,
38B,08,96,06,2C,9F,2A,00,
38B,08,97,06,2C,1F,27,00,
38B,00,00,00,00,1F,28,00,
38B,00,00,00,00,9F,2B,00,
